,id,url,landmark_id,category_name,name,lat,lon,city,state,country,image_path
1475,02539da7cdfed3c5,https://upload.wikimedia.org/wikipedia/commons/f/f4/Bug_Powder_Dust_Pitch_One_%2833485187773%29.jpg,184919,Category:Grampians_National_Park,Glenelg River Road,-37.2078,142.4,,Victoria,Australia,data/train/images/0/2/5/02539da7cdfed3c5.jpg
1525,02a1f6a8ced0b3fb,http://upload.wikimedia.org/wikipedia/commons/a/a9/HMAS-Castlemaine-gun-2-1.jpg,77952,Category:HMAS_Castlemaine,HMAS Castlemaine,-37.8611,144.9056,,Victoria,Australia,data/train/images/0/2/a/02a1f6a8ced0b3fb.jpg
54193,023f9c88eaa86ce6,http://upload.wikimedia.org/wikipedia/commons/3/35/Lockett_End.jpg,27254,Category:Docklands_Stadium,Marvel Stadium,-37.81638889,144.9475,Melbourne,Victoria,Australia,data/train/images/0/2/3/023f9c88eaa86ce6.jpg
72394,0256972dfc9ea0f8,http://upload.wikimedia.org/wikipedia/commons/1/1b/USS_Canberra_Bell.jpg,139899,Category:Australian_National_Maritime_Museum,Waterfront Promenade,-33.8692,151.199,Sydney,New South Wales,Australia,data/train/images/0/2/5/0256972dfc9ea0f8.jpg
94216,01735504fab9d7fb,https://upload.wikimedia.org/wikipedia/commons/a/ad/Lookout_at_Goodela.jpg,17552,Category:Blackdown_Tableland_National_Park,Dingo,-23.7236,149.06,,Queensland,Australia,data/train/images/0/1/7/01735504fab9d7fb.jpg
100476,01f057ca54cc5045,https://upload.wikimedia.org/wikipedia/commons/f/fc/Sydney_NSW_2000%2C_Australia_-_panoramio_%28431%29.jpg,161726,Category:ANZAC_War_Memorial_(Sydney),ANZAC Memorial,-33.87572222,151.21094444,Sydney,New South Wales,Australia,data/train/images/0/1/f/01f057ca54cc5045.jpg
100781,00fc92625a5b0fbf,https://upload.wikimedia.org/wikipedia/commons/7/7d/Snowy_Mountains_-_klokani_-_panoramio.jpg,73064,Category:Kosciuszko_National_Park,Intake Tower,-35.99833333,148.3344444,,New South Wales,Australia,data/train/images/0/0/f/00fc92625a5b0fbf.jpg
136315,02dc282ee0371df3,https://upload.wikimedia.org/wikipedia/commons/8/83/TSB_Bank_ATM_Auckland.jpg,128549,"Category:Queen_Street,_Auckland",,-36.8498,174.765,Auckland,Auckland,New Zealand,data/train/images/0/2/d/02dc282ee0371df3.jpg
150701,000b4bc5e95dc56f,http://upload.wikimedia.org/wikipedia/commons/7/7e/Gold_Logie.jpg,157922,Category:Powerhouse_Museum,Powerhouse Museum,-33.87861111,151.19944444,Sydney,New South Wales,Australia,data/train/images/0/0/0/000b4bc5e95dc56f.jpg
187361,0091cb722a8d384d,https://upload.wikimedia.org/wikipedia/commons/6/62/Long_drop_gallow.JPG,81760,Category:Old_Melbourne_Gaol,RMIT University,-37.80805556,144.96527778,Melbourne,Victoria,Australia,data/train/images/0/0/9/0091cb722a8d384d.jpg
192206,02edb7593adbd10c,https://upload.wikimedia.org/wikipedia/commons/9/92/Gladesville_Bridge_-_panoramio_%282%29.jpg,186200,Category:Lane_Cove_National_Park,Riverside Drive,-33.7836,151.139,Sydney,New South Wales,Australia,data/train/images/0/2/e/02edb7593adbd10c.jpg
226082,024cf1ce6118c88f,https://upload.wikimedia.org/wikipedia/commons/3/36/The_Joker_%286719094173%29.jpg,134454,Category:Sydney_Park,,-33.9105,151.185,Sydney,New South Wales,Australia,data/train/images/0/2/4/024cf1ce6118c88f.jpg
244755,006d802f6274fdee,https://upload.wikimedia.org/wikipedia/commons/b/b7/Eucalyptus_benthamii_02.jpg,169701,Category:Australian_National_Botanic_Gardens,Australian National Botanic Gardens,-35.27888889,149.10916667,Canberra,,Australia,data/train/images/0/0/6/006d802f6274fdee.jpg
246460,02c2cd57b1b2a215,https://upload.wikimedia.org/wikipedia/commons/5/5d/Outback_Trip_-_Kata_Tjuta_Sunset_Happy_Hour_II_%284156883321%29.jpg,148806,Category:Uluru-Kata_Tjuta_National_Park,Petermann,-25.322076,130.985732,,,Australia,data/train/images/0/2/c/02c2cd57b1b2a215.jpg
